arch=convattn norm=batch device=cuda params=606,738 train_samples=3000 val_samples=400 epochs=80 batch_size=64 lr=0.001 seed=43 patience=12 warmup_epochs=0
epoch 001/80 | train_ctc_loss=2.5035 | val_exact_match_acc=0.0300 | lr=0.001000 | time=1.4s
epoch 002/80 | train_ctc_loss=1.6435 | val_exact_match_acc=0.0200 | lr=0.000998 | time=1.0s
epoch 003/80 | train_ctc_loss=1.5727 | val_exact_match_acc=0.0150 | lr=0.000997 | time=1.0s
epoch 004/80 | train_ctc_loss=1.4724 | val_exact_match_acc=0.0275 | lr=0.000994 | time=1.0s
epoch 005/80 | train_ctc_loss=1.4081 | val_exact_match_acc=0.0375 | lr=0.000990 | time=1.0s
epoch 006/80 | train_ctc_loss=1.3928 | val_exact_match_acc=0.0075 | lr=0.000986 | time=1.0s
epoch 007/80 | train_ctc_loss=1.3682 | val_exact_match_acc=0.0300 | lr=0.000981 | time=1.0s
epoch 008/80 | train_ctc_loss=1.2665 | val_exact_match_acc=0.0500 | lr=0.000976 | time=1.0s
epoch 009/80 | train_ctc_loss=1.0182 | val_exact_match_acc=0.1325 | lr=0.000969 | time=1.0s
epoch 010/80 | train_ctc_loss=0.6368 | val_exact_match_acc=0.4550 | lr=0.000962 | time=1.0s
epoch 011/80 | train_ctc_loss=0.3375 | val_exact_match_acc=0.6100 | lr=0.000954 | time=1.1s
epoch 012/80 | train_ctc_loss=0.2173 | val_exact_match_acc=0.7200 | lr=0.000946 | time=1.1s
epoch 013/80 | train_ctc_loss=0.1377 | val_exact_match_acc=0.6900 | lr=0.000936 | time=1.0s
epoch 014/80 | train_ctc_loss=0.0890 | val_exact_match_acc=0.8375 | lr=0.000926 | time=1.1s
epoch 015/80 | train_ctc_loss=0.0628 | val_exact_match_acc=0.8025 | lr=0.000916 | time=1.1s
epoch 016/80 | train_ctc_loss=0.0411 | val_exact_match_acc=0.8500 | lr=0.000905 | time=1.1s
epoch 017/80 | train_ctc_loss=0.0327 | val_exact_match_acc=0.8525 | lr=0.000893 | time=1.1s
epoch 018/80 | train_ctc_loss=0.0316 | val_exact_match_acc=0.8775 | lr=0.000880 | time=1.1s
epoch 019/80 | train_ctc_loss=0.0336 | val_exact_match_acc=0.7850 | lr=0.000867 | time=1.1s
epoch 020/80 | train_ctc_loss=0.0440 | val_exact_match_acc=0.7600 | lr=0.000854 | time=1.0s
epoch 021/80 | train_ctc_loss=0.0369 | val_exact_match_acc=0.8625 | lr=0.000839 | time=1.1s
epoch 022/80 | train_ctc_loss=0.0225 | val_exact_match_acc=0.8800 | lr=0.000825 | time=1.0s
epoch 023/80 | train_ctc_loss=0.0162 | val_exact_match_acc=0.8525 | lr=0.000810 | time=1.1s
epoch 024/80 | train_ctc_loss=0.0152 | val_exact_match_acc=0.8925 | lr=0.000794 | time=1.1s
epoch 025/80 | train_ctc_loss=0.0109 | val_exact_match_acc=0.9175 | lr=0.000778 | time=1.0s
epoch 026/80 | train_ctc_loss=0.0095 | val_exact_match_acc=0.9075 | lr=0.000761 | time=1.0s
epoch 027/80 | train_ctc_loss=0.0086 | val_exact_match_acc=0.8950 | lr=0.000744 | time=1.1s
epoch 028/80 | train_ctc_loss=0.0131 | val_exact_match_acc=0.8750 | lr=0.000727 | time=1.1s
epoch 029/80 | train_ctc_loss=0.0233 | val_exact_match_acc=0.8475 | lr=0.000709 | time=1.1s
epoch 030/80 | train_ctc_loss=0.0232 | val_exact_match_acc=0.8200 | lr=0.000691 | time=1.1s
epoch 031/80 | train_ctc_loss=0.0138 | val_exact_match_acc=0.8900 | lr=0.000673 | time=1.0s
epoch 032/80 | train_ctc_loss=0.0184 | val_exact_match_acc=0.7300 | lr=0.000655 | time=1.1s
epoch 033/80 | train_ctc_loss=0.0173 | val_exact_match_acc=0.8725 | lr=0.000636 | time=1.1s
epoch 034/80 | train_ctc_loss=0.0109 | val_exact_match_acc=0.8625 | lr=0.000617 | time=1.1s
epoch 035/80 | train_ctc_loss=0.0094 | val_exact_match_acc=0.8900 | lr=0.000598 | time=1.0s
epoch 036/80 | train_ctc_loss=0.0108 | val_exact_match_acc=0.9075 | lr=0.000578 | time=1.0s
epoch 037/80 | train_ctc_loss=0.0122 | val_exact_match_acc=0.9025 | lr=0.000559 | time=1.0s
early stopping at epoch 37: no val improvement for 12 epochs
best_val_exact_match_acc=0.9175 saved_to=D:\internship\task\src\..\weights\model_convattn_seed43.pt
stopped_early_at_epoch=37
