arch=crnn norm=batch device=cuda params=542,226 train_samples=3000 val_samples=400 epochs=80 batch_size=64 lr=0.001 seed=42 patience=12 warmup_epochs=0
epoch 001/80 | train_ctc_loss=3.2024 | val_exact_match_acc=0.0000 | lr=0.001000 | time=15.1s
epoch 002/80 | train_ctc_loss=1.6143 | val_exact_match_acc=0.0000 | lr=0.000998 | time=1.3s
epoch 003/80 | train_ctc_loss=1.5303 | val_exact_match_acc=0.0025 | lr=0.000997 | time=1.0s
epoch 004/80 | train_ctc_loss=1.4759 | val_exact_match_acc=0.0350 | lr=0.000994 | time=1.0s
epoch 005/80 | train_ctc_loss=1.3307 | val_exact_match_acc=0.1075 | lr=0.000990 | time=1.0s
epoch 006/80 | train_ctc_loss=1.0479 | val_exact_match_acc=0.2750 | lr=0.000986 | time=1.0s
epoch 007/80 | train_ctc_loss=0.4166 | val_exact_match_acc=0.7200 | lr=0.000981 | time=1.0s
epoch 008/80 | train_ctc_loss=0.1466 | val_exact_match_acc=0.7350 | lr=0.000976 | time=1.0s
epoch 009/80 | train_ctc_loss=0.0613 | val_exact_match_acc=0.8800 | lr=0.000969 | time=1.0s
epoch 010/80 | train_ctc_loss=0.0287 | val_exact_match_acc=0.8900 | lr=0.000962 | time=1.0s
epoch 011/80 | train_ctc_loss=0.0128 | val_exact_match_acc=0.9175 | lr=0.000954 | time=1.0s
epoch 012/80 | train_ctc_loss=0.0069 | val_exact_match_acc=0.9175 | lr=0.000946 | time=1.0s
epoch 013/80 | train_ctc_loss=0.0042 | val_exact_match_acc=0.9400 | lr=0.000936 | time=1.0s
epoch 014/80 | train_ctc_loss=0.0031 | val_exact_match_acc=0.9375 | lr=0.000926 | time=1.0s
epoch 015/80 | train_ctc_loss=0.0025 | val_exact_match_acc=0.9425 | lr=0.000916 | time=1.0s
epoch 016/80 | train_ctc_loss=0.0021 | val_exact_match_acc=0.9475 | lr=0.000905 | time=1.0s
epoch 017/80 | train_ctc_loss=0.0018 | val_exact_match_acc=0.9425 | lr=0.000893 | time=1.0s
epoch 018/80 | train_ctc_loss=0.0016 | val_exact_match_acc=0.9450 | lr=0.000880 | time=1.0s
epoch 019/80 | train_ctc_loss=0.0014 | val_exact_match_acc=0.9450 | lr=0.000867 | time=1.0s
epoch 020/80 | train_ctc_loss=0.0012 | val_exact_match_acc=0.9425 | lr=0.000854 | time=1.0s
epoch 021/80 | train_ctc_loss=0.0011 | val_exact_match_acc=0.9500 | lr=0.000839 | time=1.0s
epoch 022/80 | train_ctc_loss=0.0010 | val_exact_match_acc=0.9450 | lr=0.000825 | time=1.0s
epoch 023/80 | train_ctc_loss=0.0009 | val_exact_match_acc=0.9475 | lr=0.000810 | time=1.0s
epoch 024/80 | train_ctc_loss=0.0009 | val_exact_match_acc=0.9450 | lr=0.000794 | time=1.0s
epoch 025/80 | train_ctc_loss=0.0008 | val_exact_match_acc=0.9475 | lr=0.000778 | time=1.0s
epoch 026/80 | train_ctc_loss=0.0007 | val_exact_match_acc=0.9475 | lr=0.000761 | time=1.0s
epoch 027/80 | train_ctc_loss=0.0007 | val_exact_match_acc=0.9475 | lr=0.000744 | time=1.0s
epoch 028/80 | train_ctc_loss=0.0006 | val_exact_match_acc=0.9475 | lr=0.000727 | time=1.0s
epoch 029/80 | train_ctc_loss=0.0006 | val_exact_match_acc=0.9500 | lr=0.000709 | time=1.0s
epoch 030/80 | train_ctc_loss=0.0006 | val_exact_match_acc=0.9475 | lr=0.000691 | time=1.0s
epoch 031/80 | train_ctc_loss=0.0005 | val_exact_match_acc=0.9475 | lr=0.000673 | time=1.0s
epoch 032/80 | train_ctc_loss=0.0005 | val_exact_match_acc=0.9450 | lr=0.000655 | time=1.0s
epoch 033/80 | train_ctc_loss=0.0005 | val_exact_match_acc=0.9450 | lr=0.000636 | time=1.0s
epoch 034/80 | train_ctc_loss=0.0005 | val_exact_match_acc=0.9450 | lr=0.000617 | time=1.0s
epoch 035/80 | train_ctc_loss=0.0004 | val_exact_match_acc=0.9500 | lr=0.000598 | time=1.0s
epoch 036/80 | train_ctc_loss=0.0004 | val_exact_match_acc=0.9450 | lr=0.000578 | time=1.0s
epoch 037/80 | train_ctc_loss=0.0004 | val_exact_match_acc=0.9475 | lr=0.000559 | time=1.0s
epoch 038/80 | train_ctc_loss=0.0004 | val_exact_match_acc=0.9425 | lr=0.000539 | time=1.0s
epoch 039/80 | train_ctc_loss=0.0004 | val_exact_match_acc=0.9450 | lr=0.000520 | time=1.0s
epoch 040/80 | train_ctc_loss=0.0004 | val_exact_match_acc=0.9475 | lr=0.000500 | time=1.0s
epoch 041/80 | train_ctc_loss=0.0003 | val_exact_match_acc=0.9450 | lr=0.000480 | time=1.0s
epoch 042/80 | train_ctc_loss=0.0003 | val_exact_match_acc=0.9450 | lr=0.000461 | time=1.0s
epoch 043/80 | train_ctc_loss=0.0003 | val_exact_match_acc=0.9425 | lr=0.000441 | time=1.0s
epoch 044/80 | train_ctc_loss=0.0003 | val_exact_match_acc=0.9475 | lr=0.000422 | time=1.0s
epoch 045/80 | train_ctc_loss=0.0003 | val_exact_match_acc=0.9425 | lr=0.000402 | time=1.0s
epoch 046/80 | train_ctc_loss=0.0003 | val_exact_match_acc=0.9500 | lr=0.000383 | time=1.0s
epoch 047/80 | train_ctc_loss=0.0003 | val_exact_match_acc=0.9425 | lr=0.000364 | time=1.0s
epoch 048/80 | train_ctc_loss=0.0003 | val_exact_match_acc=0.9500 | lr=0.000345 | time=1.0s
epoch 049/80 | train_ctc_loss=0.0003 | val_exact_match_acc=0.9475 | lr=0.000327 | time=1.0s
epoch 050/80 | train_ctc_loss=0.0003 | val_exact_match_acc=0.9425 | lr=0.000309 | time=1.0s
epoch 051/80 | train_ctc_loss=0.0003 | val_exact_match_acc=0.9475 | lr=0.000291 | time=1.0s
epoch 052/80 | train_ctc_loss=0.0002 | val_exact_match_acc=0.9425 | lr=0.000273 | time=1.0s
epoch 053/80 | train_ctc_loss=0.0002 | val_exact_match_acc=0.9450 | lr=0.000256 | time=1.0s
epoch 054/80 | train_ctc_loss=0.0002 | val_exact_match_acc=0.9450 | lr=0.000239 | time=1.0s
epoch 055/80 | train_ctc_loss=0.0002 | val_exact_match_acc=0.9450 | lr=0.000222 | time=1.0s
epoch 056/80 | train_ctc_loss=0.0002 | val_exact_match_acc=0.9450 | lr=0.000206 | time=1.0s
epoch 057/80 | train_ctc_loss=0.0002 | val_exact_match_acc=0.9450 | lr=0.000190 | time=1.0s
epoch 058/80 | train_ctc_loss=0.0002 | val_exact_match_acc=0.9450 | lr=0.000175 | time=1.0s
epoch 059/80 | train_ctc_loss=0.0002 | val_exact_match_acc=0.9450 | lr=0.000161 | time=1.0s
epoch 060/80 | train_ctc_loss=0.0002 | val_exact_match_acc=0.9475 | lr=0.000146 | time=1.0s
early stopping at epoch 60: no val improvement for 12 epochs
best_val_exact_match_acc=0.9500 saved_to=D:\internship\task\src\..\weights\model_crnn_seed42.pt
stopped_early_at_epoch=60
